kw-audience-intent,,,,,,,,,,,,,,,,,,,,,,,,,
1 April 2025 - 31 March 2026,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
web design for startups,INR,260,255%,-19%,Low,6,453.49,1891.56,,,,,,480,260,140,90,140,720,320,210,260,110,70,390
web design for small business,INR,2900,0%,-56%,Low,11,750.57,3117.96,,,,,,4400,3600,2900,2900,2900,5400,2900,1600,880,2900,1000,2900
web design for restaurants,INR,1000,156%,-47%,Low,13,425.18,2151.71,,,,,,1600,1900,1600,1000,1000,1600,880,590,390,390,390,1000
web design for law firms,INR,2900,190%,-19%,Low,14,3306.93,7558.70,,,,,,3600,4400,2900,2400,2400,6600,2400,1000,1000,1000,1300,2900
web design for healthcare,INR,590,127%,-55%,Low,10,798.39,3779.35,,,,,,1300,1000,590,480,320,1600,390,110,140,260,140,590
web design for real estate,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
web design for contractors,INR,1000,-58%,-38%,Low,9,482.08,3117.96,,,,,,1600,1300,1300,720,720,2400,1000,320,320,2400,590,1000
web design for saas companies,INR,10,0%,0%,Low,10,,,,,,,,10,10,10,10,0,10,0,10,0,10,10,10
website builders for small business,INR,6600,49%,49%,Low,23,866.27,3768.73,,,,,,6600,5400,6600,6600,5400,6600,6600,5400,5400,8100,9900,12100
website designers for small business,INR,1300,39%,-66%,Low,20,1052.43,4193.95,,,,,,2900,1900,1300,880,1000,1900,1000,720,720,720,590,1000
law firm website design,INR,2900,190%,-19%,Low,14,3306.93,7558.70,,,,Y,,3600,4400,2900,2400,2400,6600,2400,1000,1000,1000,1300,2900
medical website design,INR,1000,125%,-70%,Low,12,889.09,4157.28,,,,Y,,2900,1600,720,880,590,2400,590,210,210,320,210,720
website design for small business,INR,2900,0%,-56%,Low,11,750.57,3117.96,,,,Y,,4400,3600,2900,2900,2900,5400,2900,1600,880,2900,1000,2900
restaurant website design,INR,1000,156%,-47%,Low,13,425.18,2151.71,,,,Y,,1600,1900,1600,1000,1000,1600,880,590,390,390,390,1000
average cost of website design for small business,INR,390,321%,-33%,Medium,38,267.39,1177.18,,,,,,880,880,590,480,390,390,260,110,90,140,260,590
cheap websites for small business,INR,390,86%,-76%,Medium,39,789.74,3161.17,,,,,,1000,480,480,390,390,720,320,210,210,210,260,390
website developers for small business,INR,2900,0%,-56%,Low,11,750.57,3117.96,,,,,,4400,3600,2900,2900,2900,5400,2900,1600,880,2900,1000,2900
best website builder for restaurants,INR,210,53%,-33%,Low,26,889.99,3470.34,,,,,,320,390,260,170,170,260,260,140,170,170,110,260
affordable websites for small business,INR,390,86%,-76%,Medium,39,789.74,3161.17,,,,,,1000,480,480,390,390,720,320,210,210,210,260,390
realtor website design,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
real estate website design,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,Y,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
top website builders for small business,INR,5400,0%,-33%,High,67,750.80,3803.38,,,,,,6600,5400,5400,4400,4400,5400,5400,4400,4400,5400,4400,5400
cheap website design for small business,INR,70,100%,-82%,Low,27,1442.76,4773.56,,,,,,210,140,70,40,20,140,20,10,40,10,10,20
lawyer website design,INR,2400,82%,-70%,Low,9,2881.70,7558.70,,,,,,4400,3600,2400,2400,1600,8100,2400,1300,720,880,1000,1600
small business website design services,INR,4400,233%,-46%,Low,8,536.04,2703.93,,,,,,2900,2400,1600,40500,1900,3600,1600,880,480,390,480,1300
website designers for small business near me,INR,140,-29%,-92%,Medium,50,883.64,3117.96,,,,,,480,260,210,170,140,140,70,70,50,70,50,50
healthcare website design,INR,590,127%,-55%,Low,10,798.39,3779.35,,,,Y,,1300,1000,590,480,320,1600,390,110,140,260,140,590
best website designer for small business,INR,70,0%,-18%,High,67,1138.61,3541.10,,,,,,90,70,70,50,70,140,70,30,20,90,90,90
attorney website design,INR,2400,82%,-70%,Low,9,2881.70,7558.70,,,,,,4400,3600,2400,2400,1600,8100,2400,1300,720,880,1000,1600
best real estate website design,INR,210,21%,-65%,Low,23,553.67,2362.09,,,,,,390,590,390,170,140,210,140,110,140,140,140,170
best law firm website design companies,INR,140,143%,0%,Low,10,3306.93,11527.02,,,,,,210,170,170,210,140,210,90,40,50,70,110,170
affordable web design for small business,INR,590,85%,-70%,Low,13,1266.53,3540.46,,,,,,1300,880,480,210,320,1600,320,110,260,260,260,480
real estate website developer,INR,20,0%,-86%,Low,20,,,,,,Y,,40,30,30,20,30,40,20,20,10,10,10,10
inexpensive website design for small business,INR,590,85%,-70%,Low,13,1266.53,3540.46,,,,,,1300,880,480,210,320,1600,320,110,260,260,260,480
website design companies for small business,INR,590,324%,-45%,Low,3,1035.54,3416.44,,,,,,1300,1000,590,260,480,1300,480,110,170,170,140,720
best website design companies for small business,INR,210,133%,-46%,Low,6,962.53,4057.13,,,,,,390,390,210,110,210,390,90,50,70,90,70,210
legal website design,INR,590,85%,-45%,Low,4,3306.93,8031.12,,,,,,880,880,590,320,320,2400,390,260,260,260,260,480
website cost for small business,INR,320,243%,-45%,Low,19,275.89,1183.88,,,,,,720,590,480,320,140,210,170,110,140,140,170,480
simple website for small business,INR,50,100%,-64%,Low,31,803.52,3930.53,,,,,,90,90,70,90,50,20,30,50,20,20,30,40
best website developers for small business,INR,170,89%,-47%,Low,28,584.85,3179.17,,,,,,320,260,140,110,140,210,140,70,70,90,110,170
real estate website creator,INR,880,22%,-55%,Low,25,1358.73,4963.23,,,,,,1600,1000,880,880,880,880,590,480,390,590,480,720
luxury real estate website design,INR,50,25%,-55%,Medium,46,422.31,1562.00,,,,,,70,110,90,50,70,40,50,20,50,40,50,50
real estate agent website examples,INR,210,24%,-33%,Medium,37,425.18,1879.58,,,,,,320,320,210,170,170,260,210,140,140,210,210,260
web design for lawyers,INR,2400,82%,-70%,Low,9,2881.70,7558.70,,,,,,4400,3600,2400,2400,1600,8100,2400,1300,720,880,1000,1600
real estate website designers,INR,140,0%,-82%,Medium,34,1254.60,4342.48,,,,,,320,260,170,70,140,260,70,30,20,70,70,70
website creation for small business,INR,6600,49%,49%,Low,23,866.27,3768.73,,,,,,6600,5400,6600,6600,5400,6600,6600,5400,5400,8100,9900,12100
law firm website design cost,INR,90,75%,-50%,Low,7,624.05,6010.71,,,,,,90,70,140,70,70,260,50,50,40,40,30,70
medical website development,INR,260,200%,-71%,Low,2,669.89,4251.77,,,,,,720,390,170,90,90,880,70,10,70,70,30,210
top 10 website builders for small business,INR,10,0%,-67%,High,86,1531.76,4771.20,,,,,,30,20,10,10,10,20,10,10,10,10,20,10
real estate agent website design,INR,260,55%,-65%,Low,25,955.87,3215.28,,,,,,390,590,390,320,320,480,170,110,90,110,140,170
commercial real estate website design,INR,590,320%,-94%,Low,7,661.39,2364.26,,,,,,3600,1900,170,110,210,390,210,90,70,50,70,210
best healthcare website design,INR,110,80%,-47%,Low,24,350.53,1578.82,,,,,,210,210,140,90,110,170,70,40,40,50,40,90
restaurant website design company,INR,140,250%,-64%,Low,5,433.48,972.03,,,,,,390,210,140,90,140,210,70,30,20,40,40,140
best medical website design,INR,260,22%,-81%,Low,18,395.65,1700.71,,,,,,720,390,170,140,90,880,70,20,50,90,50,110
saas website design agency,INR,320,321%,51%,Low,3,1708.03,4445.46,,,,,,480,390,210,110,90,720,390,320,170,140,40,590
best website creators for small business,INR,140,21%,-19%,Medium,64,906.26,4272.04,,,,,,170,210,140,170,140,110,90,110,90,140,140,170
web page designers for small business,INR,1300,39%,-66%,Low,20,1052.43,4193.95,,,,,,2900,1900,1300,880,1000,1900,1000,720,720,720,590,1000
healthcare website design company,INR,140,250%,-46%,Low,10,1005.70,4457.52,,,,,,480,260,210,110,110,260,30,30,40,40,30,140
website design for small business near me,INR,90,80%,-47%,Low,11,348.36,2434.57,,,,,,260,110,90,170,40,140,110,20,10,50,50,90
contractor website design,INR,1000,-58%,-38%,Low,9,482.08,3117.96,,,,,,1600,1300,1300,720,720,2400,1000,320,320,2400,590,1000
web design services for small business,INR,4400,233%,-46%,Low,8,536.04,2703.93,,,,,,2900,2400,1600,40500,1900,3600,1600,880,480,390,480,1300
low cost websites for small business,INR,20,0%,-33%,High,86,864.82,2671.96,,,,,,30,30,30,30,30,30,20,20,20,20,20,20
web developer for small business,INR,170,27%,-64%,Low,22,869.89,4361.33,,,,,,320,260,110,70,90,480,140,50,50,110,70,140
real estate website companies,INR,170,0%,-66%,Medium,54,546.69,2362.09,,,,,,320,210,170,110,170,260,140,70,50,110,110,110
real estate website development,INR,90,350%,-72%,Low,19,1433.36,2618.56,,,,Y,,210,210,90,90,90,210,40,50,30,20,40,90
inexpensive websites for small businesses,INR,390,86%,-76%,Medium,39,789.74,3161.17,,,,,,1000,480,480,390,390,720,320,210,210,210,260,390
best website design for small business,INR,170,89%,-47%,Low,28,584.85,3179.17,,,,,,320,260,140,110,140,210,140,70,70,90,110,170
custom websites for small businesses,INR,70,67%,-76%,Medium,42,518.41,2403.74,,,,,,210,90,40,20,40,170,30,20,20,30,20,50
real estate website development services,INR,30,33%,-43%,Low,1,,,,,,,,50,70,40,10,50,50,10,20,30,30,10,40
food website design,INR,140,56%,-46%,Low,9,183.03,863.40,,,,,,260,170,70,90,110,260,110,90,110,90,70,140
small law firm website design,INR,210,55%,-35%,Low,20,3306.93,5196.61,,,,,,260,260,170,320,140,720,90,50,70,110,110,170
medical web design,INR,1000,125%,-70%,Low,12,889.09,4157.28,,,,,,2900,1600,720,880,590,2400,590,210,210,320,210,720
real estate web developer,INR,70,400%,-44%,Low,15,1645.38,3835.33,,,,,,140,90,30,50,70,140,50,20,10,10,30,50
custom real estate website,INR,70,-20%,-76%,Medium,37,879.41,3440.56,,,,,,140,140,40,40,40,170,40,20,20,50,20,40
law firm website designers,INR,170,67%,-92%,Low,26,3430.70,8493.27,,,,,,480,260,210,110,110,720,90,70,30,30,40,50
best real estate websites for agents,INR,50,0%,-55%,High,69,908.65,4723.68,,,,,,110,70,50,30,50,70,40,40,40,50,70,50
menu design website,INR,210,50%,-46%,Low,28,217.53,1018.11,,,,,,320,320,210,210,210,260,210,170,140,140,210,210
estate agent website design,INR,30,100%,-78%,Low,0,,,,,,,,70,30,20,20,50,70,50,10,20,10,10,20
best cheap website for small business,INR,10,0%,0%,High,86,835.61,2963.02,,,,,,10,10,20,10,10,20,10,10,10,10,10,10
real estate idx website design,INR,30,0%,-86%,Medium,43,,,,,,,,90,70,70,40,50,20,10,10,10,10,20,10
best ecommerce websites for small business,INR,90,80%,-47%,Low,20,422.21,2303.51,,,,,,170,140,90,90,70,70,70,70,110,50,40,90
healthcare website developer,INR,10,0%,-67%,Low,29,,,,,,,,30,20,10,10,20,20,10,10,10,10,10,10
best web designers for small business,INR,70,0%,-18%,High,67,1138.61,3541.10,,,,,,90,70,70,50,70,140,70,30,20,90,90,90
real estate website design companies,INR,140,420%,-19%,Low,1,,,,,,,,320,320,170,70,170,260,50,40,20,50,70,260
web development for small businesses,INR,390,-19%,-76%,Low,7,708.63,3067.40,,,,,,880,480,480,260,260,1300,260,70,110,260,90,210
small business website design near me,INR,90,200%,-85%,Low,8,514.21,4724.19,,,,,,260,90,50,10,50,50,70,110,260,30,50,90
modern real estate website design,INR,10,0%,0%,Low,32,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
law firm website developer,INR,210,100%,-56%,Low,4,4724.19,8503.54,,,,,,390,390,210,110,170,590,170,140,90,70,50,140
best restaurant website design,INR,140,89%,-35%,Medium,42,349.59,1333.01,,,,,,320,210,140,110,140,260,90,110,90,90,110,170
property website design,INR,10,100%,0%,Low,13,,,,,,Y,,20,20,10,10,10,10,10,10,10,10,10,20
medical office website design,INR,40,300%,-56%,Low,9,1127.31,4062.80,,,,,,90,50,30,30,40,70,20,20,10,10,10,40
best web design for small business,INR,170,89%,-47%,Low,28,584.85,3179.17,,,,,,320,260,140,110,140,210,140,70,70,90,110,170
best website design for attorneys,INR,260,-18%,-57%,Low,14,1975.66,4959.45,,,,,,210,210,170,70,70,1000,260,210,210,110,90,90
medical clinic website design,INR,110,40%,-73%,Low,12,981.63,2451.54,,,,,,260,170,140,70,70,390,40,30,20,50,40,70
legal website designer,INR,140,40%,-36%,Low,6,4724.19,11389.14,,,,,,140,110,50,30,40,720,90,70,50,50,50,70
real estate web design agency,INR,70,100%,27%,Low,3,606.59,1060.11,,,,,,110,90,110,70,70,10,30,30,30,70,40,140
small business web design near me,INR,70,22%,-93%,Low,3,,,,,,,,210,70,30,20,30,40,20,50,70,90,90,110
cost of website design for small business,INR,110,89%,-19%,Low,32,369.15,1462.47,,,,,,210,110,110,90,70,70,110,70,70,90,90,170
best real estate website developers,INR,10,0%,0%,Medium,57,,,,,,,,10,10,0,10,10,10,10,10,0,10,10,10
medical website designers,INR,50,50%,-79%,Low,4,,,,,,,,170,90,40,20,50,170,10,10,10,20,10,30
legal web design,INR,590,85%,-45%,Low,4,3306.93,8031.12,,,,,,880,880,590,320,320,2400,390,260,260,260,260,480
medical device website design,INR,40,0%,-89%,Low,27,610.37,3237.08,,,,,,90,50,50,40,20,170,10,10,10,10,10,10
web design contractor,INR,1000,-58%,-38%,Low,9,482.08,3117.96,,,,,,1600,1300,1300,720,720,2400,1000,320,320,2400,590,1000
web design for medical practices,INR,320,89%,-76%,Low,11,2589.98,8809.66,,,,,,720,480,390,210,210,1000,110,70,70,90,70,170
restaurant web designers,INR,90,200%,-57%,Low,16,857.71,3292.34,,,,,,170,140,140,70,70,50,50,140,30,30,30,90
healthcare website designer,INR,90,120%,-35%,Low,5,2078.64,12815.56,,,,,,170,110,110,50,70,260,30,10,70,50,20,110
cafe website design,INR,140,89%,21%,Low,22,235.26,1132.92,,,,,,90,140,110,140,170,320,110,110,90,90,110,170
best real estate website design 2022,INR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
web design cost for small business,INR,110,89%,-19%,Low,32,369.15,1462.47,,,,,,210,110,110,90,70,70,110,70,70,90,90,170
best lawyer website design,INR,260,-18%,-57%,Low,14,1975.66,4959.45,,,,,,210,210,170,70,70,1000,260,210,210,110,90,90
cost of building a website for a small business,INR,30,-33%,-50%,Medium,36,183.88,870.77,,,,,,70,30,20,30,20,20,20,10,10,30,20,20
small ecommerce website,INR,30,150%,0%,Low,11,325.32,1794.25,,,,,,70,40,30,30,10,20,10,10,10,20,20,50
law firm website design companies,INR,260,-18%,-64%,Low,18,3306.93,7558.70,,,,,,320,320,390,210,210,1300,170,90,50,170,110,140
startup website design,INR,260,255%,-19%,Low,6,453.49,1891.56,,,,,,480,260,140,90,140,720,320,210,260,110,70,390
healthcare web design companies,INR,90,450%,-35%,Low,2,,,,,,,,170,110,90,50,40,210,70,90,20,20,20,110
best saas website designs,INR,110,27%,0%,Medium,47,368.59,1543.92,,,,,,170,140,140,90,110,210,110,90,90,110,90,140
ui ux design firms,INR,590,233%,0%,Low,1,459.19,2366.82,,,,,,1600,1300,880,390,320,880,260,90,170,390,260,1300
medical website developer,INR,110,67%,-84%,Low,13,1772.62,5611.79,,,,,,320,170,110,50,70,480,70,10,10,30,10,50
web design services for small business near me,INR,70,200%,-67%,Low,5,,,,,,,,480,90,50,10,10,70,30,10,10,10,10,30
small business web design packages,INR,260,550%,-46%,Low,2,420.18,1989.03,,,,,,590,480,320,140,140,720,90,30,40,40,50,260
modern medical website design,INR,10,0%,-50%,Low,16,,,,,,,,10,10,10,20,10,10,10,20,10,10,20,10
modern law firm websites,INR,50,0%,200%,Low,13,1764.96,4724.19,,,,,,30,50,10,10,20,390,70,20,20,30,20,30
website design costs for small business,INR,110,89%,-19%,Low,32,369.15,1462.47,,,,,,210,110,110,90,70,70,110,70,70,90,90,170
website design contractor,INR,1000,-58%,-38%,Low,9,482.08,3117.96,,,,,,1600,1300,1300,720,720,2400,1000,320,320,2400,590,1000
best law firm website design,INR,390,53%,-19%,Low,23,2172.18,6330.41,,,,,,320,390,320,170,210,1900,260,210,170,170,140,260
healthcare website development,INR,320,255%,-46%,Low,4,1346.39,5051.10,,,,,,720,480,320,170,140,720,110,40,170,110,90,390
law firm website builders,INR,170,27%,-33%,Low,17,3779.35,9448.37,,,,,,320,260,170,90,140,480,140,140,110,110,70,140
website builder for roofing company,INR,10,100%,-50%,Low,4,,,,,,,,20,10,20,10,10,10,0,10,10,10,10,20
restaurant website designer,INR,90,200%,-57%,Low,16,857.71,3292.34,,,,,,170,140,140,70,70,50,50,140,30,30,30,90
best web design companies for small business,INR,70,600%,0%,Low,3,1110.18,3117.96,,,,,,140,90,50,10,20,90,40,20,90,20,20,140
kvcore website design,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,0,0,0,10,0,0,0,0
restaurant website development,INR,70,600%,-59%,Low,9,928.78,3277.20,,,,,,140,110,90,40,50,260,20,10,10,10,20,70
start up website design,INR,10,0%,0%,High,71,339.53,4282.19,,,,,,10,20,10,10,10,10,10,10,10,10,10,10
