US Batch 1 CoWork Keyword Stats 2026-05-09 at 17_00_35,,,,,,,,,,,,,,,,,,,,,,,,,
1 April 2025 - 31 March 2026,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
web design miami,INR,1900,0%,-70%,Low,15,365.65,1757.03,,,,,,3600,3600,2400,1900,1900,3600,1900,1000,1000,880,590,880
web design denver,INR,2900,0%,-18%,Low,7,635.10,2834.51,,,,,,3600,2400,1300,1000,1000,2900,2400,1900,3600,3600,4400,3600
web design nashville,INR,880,85%,-62%,Low,15,762.52,2834.51,,,,,,1600,1300,880,880,590,1300,1300,720,720,390,260,720
web design portland,INR,1600,39%,-72%,Low,6,485.65,1908.06,,,,,,2900,2400,1000,590,720,4400,1900,1300,880,720,320,1000
web design charlotte,INR,1600,39%,-38%,Low,6,603.42,2660.99,,,,,,1300,4400,2900,1600,1600,2400,1600,880,720,720,880,1000
web design raleigh,INR,720,126%,-12%,Low,6,538.06,2448.74,,,,,,880,880,720,480,720,880,880,720,390,390,320,880
web design tampa,INR,480,133%,-87%,Low,12,530.96,3237.74,,,,,,720,480,390,320,880,1600,260,210,260,90,390,210
web design austin,INR,1600,-33%,82%,Low,1,604.53,3577.24,,,,,,1300,1300,1600,1600,1300,1600,880,320,720,2400,3600,1600
website design company usa,INR,880,22%,-32%,Low,5,404.24,1604.72,,,,,,1600,1000,720,480,720,1900,390,260,720,720,590,880
web design agency,INR,12100,-45%,-33%,Low,10,568.26,1832.04,,,,Y,,14800,14800,9900,8100,8100,22200,14800,8100,5400,22200,8100,12100
website design company,INR,18100,235%,-18%,Low,6,750.94,3117.96,,,,Y,,33100,27100,14800,14800,14800,40500,18100,14800,9900,8100,9900,27100
web design company,INR,18100,235%,-18%,Low,6,750.94,3117.96,,,,Y,,33100,27100,14800,14800,14800,40500,18100,14800,9900,8100,9900,27100
website development company,INR,6600,83%,-64%,Low,12,786.91,3250.24,,,,Y,,9900,12100,8100,4400,5400,14800,6600,5400,3600,2400,2400,4400
web development company,INR,6600,83%,-64%,Low,12,786.91,3250.24,,,,,,9900,12100,8100,4400,5400,14800,6600,5400,3600,2400,2400,4400
website design services,INR,9900,86%,-45%,Low,11,743.29,3035.78,,,,Y,,9900,14800,12100,9900,12100,18100,8100,6600,6600,2900,4400,5400
website design agency,INR,12100,-45%,-33%,Low,10,568.26,1832.04,,,,Y,,14800,14800,9900,8100,8100,22200,14800,8100,5400,22200,8100,12100
web development agency,INR,3600,22%,22%,Low,10,751.64,2335.64,,,,Y,,3600,4400,1900,2400,3600,8100,8100,2900,1900,3600,1600,4400
web design companies near me,INR,8100,22%,-70%,Low,5,745.66,2817.84,,,,,,14800,6600,6600,8100,5400,14800,9900,2400,4400,5400,8100,6600
website design company near me,INR,8100,22%,-70%,Low,5,745.66,2817.84,,,,,,14800,6600,6600,8100,5400,14800,9900,2400,4400,5400,8100,6600
website design and development services,INR,1600,120%,-32%,Low,3,568.28,2769.38,,,,,,2400,1900,1600,1600,1900,3600,1900,1900,880,590,390,1300
dental website design companies,INR,480,182%,-45%,Low,8,3306.93,7086.28,,,,,,880,590,390,320,320,1000,480,260,260,170,110,480
shopify website design services,INR,590,-33%,-46%,Low,12,880.22,3104.65,,,,,,720,590,720,480,480,1300,720,390,320,480,390,320
web development companies in usa,INR,1300,22%,-55%,Low,8,641.54,1683.98,,,,,,1600,2900,1900,590,1000,2400,1900,1300,880,590,320,720
realtor website design,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
web development companies near me,INR,8100,22%,-70%,Low,5,745.66,2817.84,,,,Y,,14800,6600,6600,8100,5400,14800,9900,2400,4400,5400,8100,6600
web design services near me,INR,1900,123%,-71%,Low,2,755.87,2362.09,,,,,,5400,1600,2400,1900,720,2400,1000,880,480,1300,1600,2900
website design services near me,INR,1300,46%,-65%,Low,2,1435.69,3306.93,,,,,,2900,1300,880,880,590,2400,880,140,720,1300,2400,1900
