domain,serp_appearances,labs_organic_keywords,labs_organic_etv_monthly,labs_organic_traffic_cost,labs_pos_1,labs_pos_2_3,labs_pos_4_10,labs_paid_keywords,bl_rank,bl_backlinks,bl_referring_domains,bl_referring_main_domains,bl_first_seen,top_keywords_returned,top_keywords,rank_overview_error,ranked_keywords_error,backlinks_error
seoprofy.com,4,3926,15245.9,543799.6,19,109,679,0,337,16396,3487,3268,2020-02-23 09:49:05 +00:00,25,"[{""keyword"": ""seo optimization agencies"", ""pos"": 7, ""volume"": 27100, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""search optimization companies"", ""pos"": 4, ""volume"": 22200, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""content creation company"", ""pos"": 7, ""volume"": 8100, ""url"": ""https://seoprofy.com/blog/content-creation-services/""}, {""keyword"": ""content creation firm"", ""pos"": 6, ""volume"": 8100, ""url"": ""https://seoprofy.com/blog/content-creation-services/""}, {""keyword"": ""best seo companies"", ""pos"": 6, ""volume"": 6600, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""good seo companies"", ""pos"": 6, ""volume"": 6600, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""seo agency best"", ""pos"": 8, ""volume"": 6600, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""marketing and seo companies"", ""pos"": 8, ""volume"": 4400, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}, {""keyword"": ""seo marketing law firms"", ""pos"": 5, ""volume"": 4400, ""url"": ""https://seoprofy.com/blog/law-firm-seo-companies/""}, {""keyword"": ""local seo company"", ""pos"": 5, ""volume"": 2900, ""url"": ""https://seoprofy.com/blog/best-local-seo-companies/""}, {""keyword"": ""content creation services"", ""pos"": 5, ""volume"": 2400, ""url"": ""https://seoprofy.com/blog/content-creation-services/""}, {""keyword"": ""seo agency in us"", ""pos"": 6, ""volume"": 2400, ""url"": ""https://seoprofy.com/blog/top-seo-companies-in-the-usa/""}]",,,
thriveagency.com,4,29052,365198.8,10453460.3,1678,2543,5736,0,483,205489,9257,8428,2019-01-16 03:41:38 +00:00,25,"[{""keyword"": ""seo optimization services"", ""pos"": 2, ""volume"": 74000, ""url"": ""https://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/""}, {""keyword"": ""seo services"", ""pos"": 9, ""volume"": 74000, ""url"": ""https://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/""}, {""keyword"": ""digital marketing ads agency"", ""pos"": 7, ""volume"": 40500, ""url"": ""https://thriveagency.com/""}, {""keyword"": ""digital marketing advertising agency"", ""pos"": 4, ""volume"": 40500, ""url"": ""https://thriveagency.com/""}, {""keyword"": ""digital marketing advertising companies"", ""pos"": 4, ""volume"": 40500, ""url"": ""https://thriveagency.com/""}, {""keyword"": ""digital marketing agency"", ""pos"": 7, ""volume"": 40500, ""url"": ""https://thriveagency.com/""}, {""keyword"": ""digital marketing and advertising companies"", ""pos"": 10, ""volume"": 40500, ""url"": ""https://thriveagency.com/chicago-digital-marketing-agency/""}, {""keyword"": ""digital marketing and advertising company"", ""pos"": 10, ""volume"": 40500, ""url"": ""https://thriveagency.com/""}, {""keyword"": ""marketing agency near me"", ""pos"": 6, ""volume"": 27100, ""url"": ""https://thriveagency.com/arlington-digital-marketing-agency/""}, {""keyword"": ""seo agency"", ""pos"": 9, ""volume"": 27100, ""url"": ""https://thriveagency.com/atlanta-seo-company/""}, {""keyword"": ""seo optimization agencies"", ""pos"": 6, ""volume"": 27100, ""url"": ""https://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/""}, {""keyword"": ""search engine optimization company"", ""pos"": 6, ""volume"": 22200, ""url"": ""https://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/""}]",,,
coalitiontechnologies.com,3,6426,138598.5,6511660.8,204,368,1508,0,361,27096,3073,2808,2019-01-16 09:55:44 +00:00,25,"[{""keyword"": ""s e o services"", ""pos"": 6, ""volume"": 74000, ""url"": ""https://coalitiontechnologies.com/""}, {""keyword"": ""seo optimization services"", ""pos"": 7, ""volume"": 74000, ""url"": ""https://coalitiontechnologies.com/seo-search-engine-optimization""}, {""keyword"": ""seo services"", ""pos"": 6, ""volume"": 74000, ""url"": ""https://coalitiontechnologies.com/""}, {""keyword"": ""digital marketing agency"", ""pos"": 1, ""volume"": 40500, ""url"": ""https://coalitiontechnologies.com/digital-marketing""}, {""keyword"": ""seo agency"", ""pos"": 5, ""volume"": 27100, ""url"": ""https://coalitiontechnologies.com/seo-search-engine-optimization""}, {""keyword"": ""seo for agency"", ""pos"": 7, ""volume"": 27100, ""url"": ""https://coalitiontechnologies.com/seo-search-engine-optimization""}, {""keyword"": ""seo optimization agencies"", ""pos"": 4, ""volume"": 27100, ""url"": ""https://coalitiontechnologies.com/seo-search-engine-optimization""}, {""keyword"": ""search engine optimisation company"", ""pos"": 4, ""volume"": 22200, ""url"": ""https://coalitiontechnologies.com/""}, {""keyword"": ""search engine optimization company"", ""pos"": 2, ""volume"": 22200, ""url"": ""https://coalitiontechnologies.com/""}, {""keyword"": ""search optimization companies"", ""pos"": 5, ""volume"": 22200, ""url"": ""https://coalitiontechnologies.com/seo-search-engine-optimization""}, {""keyword"": ""search optimization company"", ""pos"": 4, ""volume"": 22200, ""url"": ""https://coalitiontechnologies.com/""}, {""keyword"": ""seo companies"", ""pos"": 4, ""volume"": 22200, ""url"": ""https://coalitiontechnologies.com/""}]",,,
ignitevisibility.com,3,13313,56012.5,497145.1,58,94,739,1,391,37495,5931,5429,2019-01-16 12:05:24 +00:00,25,"[{""keyword"": ""seo firms"", ""pos"": 10, ""volume"": 22200, ""url"": ""https://ignitevisibility.com/services/seo/""}, {""keyword"": ""best time to post on facebook"", ""pos"": 10, ""volume"": 8100, ""url"": ""https://ignitevisibility.com/best-times-post-facebook/""}, {""keyword"": ""best times to post on fb"", ""pos"": 10, ""volume"": 8100, ""url"": ""https://ignitevisibility.com/best-times-post-facebook/""}, {""keyword"": ""good seo company"", ""pos"": 9, ""volume"": 6600, ""url"": ""https://ignitevisibility.com/services/seo/""}, {""keyword"": ""good time to post on instagram thursday"", ""pos"": 5, ""volume"": 6600, ""url"": ""https://ignitevisibility.com/best-time-post-instagram-full-answer/""}, {""keyword"": ""seo agency best"", ""pos"": 10, ""volume"": 6600, ""url"": ""https://ignitevisibility.com/services/seo/""}, {""keyword"": ""car care franchise"", ""pos"": 9, ""volume"": 5400, ""url"": ""https://ignitevisibility.com/car-wash-franchise/""}, {""keyword"": ""everconnect"", ""pos"": 9, ""volume"": 5400, ""url"": ""https://ignitevisibility.com/ignite-acquires-everconnect/""}, {""keyword"": ""franchise development agency"", ""pos"": 6, ""volume"": 4400, ""url"": ""https://ignitevisibility.com/services/franchise-development/""}, {""keyword"": ""broad match modifier"", ""pos"": 7, ""volume"": 2900, ""url"": ""https://ignitevisibility.com/broad-match-modifier/""}, {""keyword"": ""san diego seo companies"", ""pos"": 8, ""volume"": 2400, ""url"": ""https://ignitevisibility.com/san-diego-seo/""}, {""keyword"": ""seo agency in san diego"", ""pos"": 7, ""volume"": 2400, ""url"": ""https://ignitevisibility.com/san-diego-seo/""}]",,,
rankstar.io,3,1000,2977.4,98108.6,4,6,62,0,268,4476,1200,809,2019-01-18 02:01:21 +00:00,25,"[{""keyword"": ""best search engine website"", ""pos"": 10, ""volume"": 8100, ""url"": ""https://rankstar.io/meet-the-worlds-most-popular-search-engines/""}, {""keyword"": ""best search engine optimization company"", ""pos"": 10, ""volume"": 6600, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""best seo agency"", ""pos"": 5, ""volume"": 6600, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""big search engines"", ""pos"": 10, ""volume"": 2900, ""url"": ""https://rankstar.io/meet-the-worlds-most-popular-search-engines/""}, {""keyword"": ""largest search engine"", ""pos"": 7, ""volume"": 2900, ""url"": ""https://rankstar.io/meet-the-worlds-most-popular-search-engines/""}, {""keyword"": ""popular search engines"", ""pos"": 7, ""volume"": 2900, ""url"": ""https://rankstar.io/meet-the-worlds-most-popular-search-engines/""}, {""keyword"": ""seo company in usa"", ""pos"": 9, ""volume"": 2400, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""seo firm usa"", ""pos"": 10, ""volume"": 2400, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""best seo agency usa"", ""pos"": 3, ""volume"": 1000, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""best seo companies in us"", ""pos"": 3, ""volume"": 1000, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""best seo company in america"", ""pos"": 3, ""volume"": 1000, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}, {""keyword"": ""best seo company in usa"", ""pos"": 5, ""volume"": 1000, ""url"": ""https://rankstar.io/seo-agency-in-the-united-states/""}]",,,
firstpagesage.com,3,4917,77652.8,3822706.9,186,504,1175,0,365,25345,7710,7286,2019-01-16 16:25:17 +00:00,25,"[{""keyword"": ""engine optimization service"", ""pos"": 3, ""volume"": 74000, ""url"": ""https://firstpagesage.com/seo-blog/the-top-generative-engine-optimization-geo-agencies/""}, {""keyword"": ""digital marketing advertising companies"", ""pos"": 7, ""volume"": 40500, ""url"": ""https://firstpagesage.com/seo-blog/top-digital-marketing-agencies/""}, {""keyword"": ""digital marketing and advertising companies"", ""pos"": 9, ""volume"": 40500, ""url"": ""https://firstpagesage.com/seo-blog/top-digital-marketing-agencies/""}, {""keyword"": ""generative ai chatbots"", ""pos"": 3, ""volume"": 27100, ""url"": ""https://firstpagesage.com/reports/top-generative-ai-chatbots/""}, {""keyword"": ""seo optimization agencies"", ""pos"": 3, ""volume"": 27100, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""search engine optimisation company"", ""pos"": 3, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""search engine optimization company"", ""pos"": 3, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""search optimization companies"", ""pos"": 9, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""search optimization company"", ""pos"": 5, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""seo companies"", ""pos"": 6, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""seo firms"", ""pos"": 2, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}, {""keyword"": ""seo optimization companies"", ""pos"": 3, ""volume"": 22200, ""url"": ""https://firstpagesage.com/seo-blog/the-top-seo-companies-in-the-us/""}]",,,
webfx.com,2,60184,224826.5,3361893.6,237,653,3229,2,474,488656,44604,40995,2019-01-15 23:32:58 +00:00,25,"[{""keyword"": ""facebook ads manager"", ""pos"": 9, ""volume"": 60500, ""url"": ""https://www.webfx.com/blog/social-media/what-is-facebook-ads-manager/""}, {""keyword"": ""color generator random"", ""pos"": 8, ""volume"": 27100, ""url"": ""https://www.webfx.com/web-design/random-color-picker/""}, {""keyword"": ""youtube more views video"", ""pos"": 9, ""volume"": 27100, ""url"": ""https://www.webfx.com/blog/social-media/how-to-increase-views-on-youtube/""}, {""keyword"": ""seo agency near me"", ""pos"": 4, ""volume"": 22200, ""url"": ""https://www.webfx.com/seo/agency/seo-marketing-company-near-me/""}, {""keyword"": ""seo firms near me"", ""pos"": 2, ""volume"": 22200, ""url"": ""https://www.webfx.com/seo/agency/seo-marketing-company-near-me/""}, {""keyword"": ""digital marketing agency near me"", ""pos"": 8, ""volume"": 18100, ""url"": ""https://www.webfx.com/locations/harrisburg-pa/""}, {""keyword"": ""igstories"", ""pos"": 5, ""volume"": 18100, ""url"": ""https://www.webfx.com/blog/social-media/what-are-instagram-stories/""}, {""keyword"": ""internet marketing service"", ""pos"": 10, ""volume"": 14800, ""url"": ""https://www.webfx.com/digital-marketing/services/""}, {""keyword"": ""seo company near me"", ""pos"": 3, ""volume"": 14800, ""url"": ""https://www.webfx.com/seo/agency/seo-marketing-company-near-me/""}, {""keyword"": ""web design near me"", ""pos"": 8, ""volume"": 14800, ""url"": ""https://www.webfx.com/locations/norfolk-va/""}, {""keyword"": ""slogans with meaning"", ""pos"": 10, ""volume"": 12100, ""url"": ""https://www.webfx.com/blog/marketing/brand-slogan-examples/""}, {""keyword"": ""website and domain"", ""pos"": 6, ""volume"": 12100, ""url"": ""https://www.webfx.com/blog/internet/what-is-a-website-domain/""}]",,,
smartsites.com,,3696,4858.7,125952.4,11,20,249,42,468,133176,2519,2407,2019-01-16 08:30:42 +00:00,25,"[{""keyword"": ""seo company in america"", ""pos"": 1, ""volume"": 2400, ""url"": ""https://www.smartsites.com/lp/best-seo-agency/?st-t=adwords-national&vt-k=nj%20seo%20company&ad=SEO-National""}, {""keyword"": ""smartsites"", ""pos"": 1, ""volume"": 1900, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""smartsites"", ""pos"": 1, ""volume"": 1900, ""url"": ""https://www.smartsites.com/lp/digital-marketing-lp-6b/""}, {""keyword"": ""smartwebsites"", ""pos"": 7, ""volume"": 1900, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing agencies in united states"", ""pos"": 4, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing agency in united states"", ""pos"": 6, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing agency in us"", ""pos"": 6, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing companies in united states"", ""pos"": 4, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing company in usa"", ""pos"": 8, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing firms in usa"", ""pos"": 6, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""digital marketing websites"", ""pos"": 6, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}, {""keyword"": ""marketing digital sites"", ""pos"": 2, ""volume"": 1300, ""url"": ""https://www.smartsites.com/""}]",,,
searchbloom.com,1,1776,7760.7,358281.8,16,46,217,0,311,41373,1495,1358,2019-01-16 06:04:22 +00:00,25,"[{""keyword"": ""search optimization companies"", ""pos"": 7, ""volume"": 22200, ""url"": ""https://www.searchbloom.com/strategy/best-ai-seo-agency-companies-services-usa/""}, {""keyword"": ""search optimization consultants"", ""pos"": 4, ""volume"": 8100, ""url"": ""https://www.searchbloom.com/strategy/best-ai-seo-agency-companies-services-usa/""}, {""keyword"": ""best search engine optimization companies"", ""pos"": 9, ""volume"": 6600, ""url"": ""https://www.searchbloom.com/""}, {""keyword"": ""best search optimization company"", ""pos"": 8, ""volume"": 6600, ""url"": ""https://www.searchbloom.com/blog/best-seo-companies-services/""}, {""keyword"": ""good seo company"", ""pos"": 7, ""volume"": 6600, ""url"": ""https://www.searchbloom.com/blog/best-seo-companies-services/""}, {""keyword"": ""small business seo services"", ""pos"": 10, ""volume"": 5400, ""url"": ""https://www.searchbloom.com/blog/best-seo-agency-services-for-small-businesses/""}, {""keyword"": ""seo search engine optimization services"", ""pos"": 5, ""volume"": 4400, ""url"": ""https://www.searchbloom.com/blog/best-seo-companies-services/""}, {""keyword"": ""seo services search engine optimization"", ""pos"": 5, ""volume"": 4400, ""url"": ""https://www.searchbloom.com/blog/best-seo-companies-services/""}, {""keyword"": ""google business profile optimization services"", ""pos"": 2, ""volume"": 2900, ""url"": ""https://www.searchbloom.com/google-business-profile-optimization-services/""}, {""keyword"": ""link building"", ""pos"": 10, ""volume"": 2400, ""url"": ""https://www.searchbloom.com/blog/link-building-services-guide/""}, {""keyword"": ""service seo local"", ""pos"": 10, ""volume"": 1900, ""url"": ""https://www.searchbloom.com/local-seo/""}, {""keyword"": ""word mixer"", ""pos"": 8, ""volume"": 1900, ""url"": ""https://www.searchbloom.com/tools/keyword-mixer-tool/""}]",,,
seosherpa.com,2,3047,11742.1,170681.7,42,96,426,0,363,5781,1934,1896,2019-01-16 09:39:35 +00:00,25,"[{""keyword"": ""agencias seo"", ""pos"": 3, ""volume"": 4400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""search engine optimization for youtube"", ""pos"": 9, ""volume"": 2900, ""url"": ""https://seosherpa.com/youtube-seo/""}, {""keyword"": ""search engine optimization company usa"", ""pos"": 9, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo agency in united states"", ""pos"": 5, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo agency in us"", ""pos"": 3, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo agency in usa"", ""pos"": 2, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo agency usa"", ""pos"": 2, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo companies in united states"", ""pos"": 5, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo company america"", ""pos"": 4, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo company in america"", ""pos"": 3, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo company in usa"", ""pos"": 2, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}, {""keyword"": ""seo company united states"", ""pos"": 7, ""volume"": 2400, ""url"": ""https://seosherpa.com/us-en/""}]",,,
