keyword,seed,search_volume,cpc,competition,kd,intent
amazon,sell on amazon,151000000,0.02,LOW,100,navigational
amazon prime,sell on amazon,24900000,0.02,LOW,90,commercial
amazon prime membership,sell on amazon,4090000,0.4,LOW,58,commercial
free trial amazon prime,sell on amazon,1500000,5.26,LOW,33,transactional
amazon prime subscription,sell on amazon,1220000,0.53,LOW,44,commercial
amazon prime free trial,sell on amazon,1220000,0.86,LOW,35,commercial
amazon customer service,sell on amazon,1000000,3.4,LOW,49,informational
amazon shopping,sell on amazon,673000,0.12,LOW,90,commercial
amazon prime login,sell on amazon,673000,0.03,LOW,53,navigational
google ads,amazon marketing agency,550000,9.16,MEDIUM,100,informational
amazon fresh,sell on amazon,550000,0.82,LOW,39,transactional
amazon usa,sell on amazon,550000,0.04,LOW,61,navigational
amazon login,sell on amazon,450000,0.03,LOW,33,navigational
content marketing,amazon marketing agency,368000,13.22,LOW,74,informational
amazon orders,sell on amazon,368000,0.58,LOW,10,transactional
amazon video,sell on amazon,368000,0.06,LOW,65,informational
free 30 day trial amazon prime,sell on amazon,301000,0.02,LOW,29,commercial
amazon prime shopping,sell on amazon,246000,0.07,LOW,40,commercial
amazon black friday deals,sell on amazon,246000,0.33,LOW,34,commercial
amazon flex,sell on amazon,246000,2.08,LOW,25,navigational
amazon prime day,sell on amazon,246000,0.33,LOW,35,commercial
amazon prime video membership,sell on amazon,246000,0.48,LOW,62,commercial
amazon tracking,sell on amazon,246000,0.13,LOW,38,navigational
amazon prime subscription plan,sell on amazon,201000,0.96,LOW,45,commercial
amazon prime free shipping,sell on amazon,201000,0.62,LOW,21,commercial
amazon prime day deals,sell on amazon,201000,0.7,LOW,28,commercial
amazon prime standard membership,sell on amazon,201000,0,LOW,41,informational
amazon kdp,sell on amazon,201000,6.83,LOW,47,informational
amazon business,sell on amazon,201000,3.33,MEDIUM,32,navigational
amazon official site,sell on amazon,201000,0.02,LOW,100,navigational
amazon seller central,sell on amazon,201000,3.2,LOW,38,navigational
staples print and marketing services,amazon marketing agency,165000,1.94,LOW,21,commercial
amazon a to z,sell on amazon,165000,0,LOW,10,navigational
amazon layoffs,sell on amazon,165000,3.31,LOW,10,informational
amazon near me,sell on amazon,165000,2.72,LOW,39,navigational
my amazon orders,sell on amazon,165000,0.59,LOW,21,navigational
amazon india,sell on amazon,165000,0.03,LOW,55,navigational
amazon recalls,sell on amazon,165000,1.35,LOW,30,informational
digital marketing,amazon marketing agency,135000,22.86,LOW,66,informational
amazon uk,sell on amazon,135000,0.15,LOW,17,navigational
amazon.com login,sell on amazon,135000,0.03,LOW,40,navigational
amazon us,sell on amazon,135000,0.09,LOW,91,navigational
amazon app,sell on amazon,135000,1.45,LOW,47,navigational
amazon haul,sell on amazon,135000,0.29,LOW,21,transactional
amazon canada,sell on amazon,135000,0.1,LOW,56,navigational
amazon affiliate program,sell on amazon,110000,7.03,LOW,25,commercial
amazon my orders,sell on amazon,110000,0.35,LOW,6,navigational
amazon influencer program,sell on amazon,110000,5.64,LOW,20,informational
amazon vine login,sell on amazon,110000,0,LOW,2,navigational
affiliate marketing,amazon marketing agency,90500,10.78,LOW,61,commercial
seo services,amazon marketing agency,90500,48.94,LOW,54,commercial
marketing jobs,amazon marketing agency,90500,3.95,LOW,26,informational
social media marketing,amazon marketing agency,90500,31.08,LOW,73,informational
marketing,amazon marketing agency,90500,21.12,LOW,85,informational
amazon associates,sell on amazon,90500,7.87,LOW,21,navigational
amazon seller,sell on amazon,90500,4.58,MEDIUM,64,navigational
how much is amazon prime,sell on amazon,90500,0.42,LOW,31,informational
amazon product safety warning,sell on amazon,90500,0.74,LOW,14,informational
amazon prime membership benefits,sell on amazon,90500,0.1,LOW,31,informational
amazon luna,sell on amazon,90500,0,LOW,34,transactional
amazon customer service chat,sell on amazon,90500,3.82,LOW,39,navigational
amazon how to return,sell on amazon,90500,1.44,LOW,17,informational
amazon online shopping,sell on amazon,90500,0.33,LOW,45,navigational
amazon tracking number,sell on amazon,90500,0.28,LOW,14,navigational
zappos amazon,sell on amazon,90500,1.25,HIGH,24,transactional
social media jobs,amazon marketing agency,74000,2.2,LOW,0,informational
meta ads library,amazon marketing agency,74000,14.87,LOW,11,navigational
amazon fba,sell on amazon,74000,5.72,LOW,16,navigational
amazon cyber monday deals,sell on amazon,74000,0.43,LOW,9,commercial
amazon in,sell on amazon,74000,0.28,LOW,56,navigational
amazon account,sell on amazon,74000,0.48,LOW,28,navigational
amazon outlet,sell on amazon,74000,0.34,LOW,5,navigational
amazon flex driver,sell on amazon,74000,1.82,LOW,30,transactional
