domain,top_keywords
thriveagency.com,"[{""keyword"": ""agentur marketing"", ""pos"": 1, ""volume"": 720}, {""keyword"": ""agences marketing digital"", ""pos"": 1, ""volume"": 590}, {""keyword"": ""5 star google rated"", ""pos"": 1, ""volume"": 320}, {""keyword"": ""affordable local seo services"", ""pos"": 1, ""volume"": 260}, {""keyword"": ""advertising agency internet"", ""pos"": 1, ""volume"": 90}, {""keyword"": ""affordable denver seo company"", ""pos"": 1, ""volume"": 90}, {""keyword"": ""advertising company internet"", ""pos"": 1, ""volume"": 50}, {""keyword"": ""agency seo services"", ""pos"": 1, ""volume"": 50}]"
www.searchbloom.com,"[{""keyword"": ""search marketing agency"", ""pos"": 1, ""volume"": 1000}, {""keyword"": ""search engine marketing firm"", ""pos"": 1, ""volume"": 210}, {""keyword"": ""search engine marketing firms"", ""pos"": 1, ""volume"": 210}, {""keyword"": ""search marketing companies"", ""pos"": 1, ""volume"": 140}, {""keyword"": ""keyword combination tools"", ""pos"": 1, ""volume"": 90}, {""keyword"": ""national search engine optimization"", ""pos"": 1, ""volume"": 90}, {""keyword"": ""ceo websites"", ""pos"": 1, ""volume"": 70}, {""keyword"": ""organic search engine marketing agency"", ""pos"": 1, ""volume"": 70}]"
www.charlotteseofirm.com,"[{""keyword"": ""charlotte seo companies"", ""pos"": 1, ""volume"": 880}, {""keyword"": ""charlotte seo company"", ""pos"": 1, ""volume"": 880}, {""keyword"": ""charlotte nc seo"", ""pos"": 1, ""volume"": 320}, {""keyword"": ""charlotte search engine optimization"", ""pos"": 1, ""volume"": 320}, {""keyword"": ""search engine optimization charlotte"", ""pos"": 1, ""volume"": 320}, {""keyword"": ""search engine optimization charlotte nc"", ""pos"": 1, ""volume"": 320}, {""keyword"": ""charlotte seo"", ""pos"": 1, ""volume"": 210}, {""keyword"": ""charlotte seo agency"", ""pos"": 1, ""volume"": 170}]"
factoryjet.com,"[{""keyword"": ""local seo nashville"", ""pos"": 10, ""volume"": 90}, {""keyword"": ""seo agency austin texas"", ""pos"": 8, ""volume"": 70}]"
www.spicymargarita.co,"[{""keyword"": ""ai seo agency"", ""pos"": 3, ""volume"": 1000}, {""keyword"": ""seo briefs"", ""pos"": 2, ""volume"": 70}, {""keyword"": ""ai powered seo services"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""ai-powered seo services"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""niche sites examples"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""niche website example"", ""pos"": 4, ""volume"": 70}, {""keyword"": ""saas seo case studies"", ""pos"": 1, ""volume"": 40}, {""keyword"": ""seo brief template"", ""pos"": 2, ""volume"": 40}]"
roofingseo.services,"[{""keyword"": ""seo for roofing companies"", ""pos"": 4, ""volume"": 1000}, {""keyword"": ""roofing seo services"", ""pos"": 1, ""volume"": 720}, {""keyword"": ""roofing seo service"", ""pos"": 2, ""volume"": 720}, {""keyword"": ""seo for roofing contractors"", ""pos"": 1, ""volume"": 260}, {""keyword"": ""roofing seo expert"", ""pos"": 2, ""volume"": 110}, {""keyword"": ""roofing seo experts"", ""pos"": 3, ""volume"": 110}, {""keyword"": ""best roofing seo company"", ""pos"": 2, ""volume"": 90}, {""keyword"": ""seo services for roofing company"", ""pos"": 3, ""volume"": 70}]"
www.onely.com,"[{""keyword"": ""technical seo service"", ""pos"": 1, ""volume"": 1900}, {""keyword"": ""technical seo agency"", ""pos"": 1, ""volume"": 720}, {""keyword"": ""onely"", ""pos"": 1, ""volume"": 480}, {""keyword"": ""tech seo agency"", ""pos"": 1, ""volume"": 140}, {""keyword"": ""franchise seo agency"", ""pos"": 2, ""volume"": 140}, {""keyword"": ""fashion seo agency"", ""pos"": 2, ""volume"": 90}, {""keyword"": ""page is not indexed page with redirect"", ""pos"": 2, ""volume"": 50}, {""keyword"": ""page is not indexed: page with redirect"", ""pos"": 2, ""volume"": 50}]"
lessermedia.com,"[{""keyword"": ""seo springfield"", ""pos"": 4, ""volume"": 110}, {""keyword"": ""seo stamford"", ""pos"": 4, ""volume"": 110}, {""keyword"": ""ppc san antonio"", ""pos"": 3, ""volume"": 90}, {""keyword"": ""sugar land seo"", ""pos"": 2, ""volume"": 70}, {""keyword"": ""seo tempe"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""google ads tampa"", ""pos"": 4, ""volume"": 70}, {""keyword"": ""seo stockton"", ""pos"": 4, ""volume"": 70}, {""keyword"": ""lesser media"", ""pos"": 1, ""volume"": 50}]"
seo.co,"[{""keyword"": ""durham seo"", ""pos"": 1, ""volume"": 260}, {""keyword"": ""arkansas seo companies"", ""pos"": 1, ""volume"": 210}, {""keyword"": ""earned links"", ""pos"": 1, ""volume"": 110}, {""keyword"": ""el paso seo"", ""pos"": 1, ""volume"": 110}, {""keyword"": ""google search engine competitor"", ""pos"": 1, ""volume"": 90}, {""keyword"": ""fully managed seo"", ""pos"": 1, ""volume"": 70}, {""keyword"": ""fully managed seo service"", ""pos"": 1, ""volume"": 70}, {""keyword"": ""fully-managed seo"", ""pos"": 1, ""volume"": 70}]"
www.yesoptimist.com,"[{""keyword"": ""seo saas"", ""pos"": 3, ""volume"": 590}, {""keyword"": ""yes optimist"", ""pos"": 1, ""volume"": 140}, {""keyword"": ""seo agency for b2b"", ""pos"": 3, ""volume"": 90}, {""keyword"": ""seo monthly retainer"", ""pos"": 1, ""volume"": 70}, {""keyword"": ""b2b seo experts"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""seo retainer services"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""what is saas seo"", ""pos"": 3, ""volume"": 70}, {""keyword"": ""b2b tech seo agency"", ""pos"": 2, ""volume"": 50}]"
