domain,rank,backlinks,spam_score,ref_domains_to_it,first_seen,nofollow,verdict
aibusinesssites.com,115,67,0,1,2026-07-26 17:58:25 +00:00,0,earned
buyersprove.com,51,1,5,1,2026-04-13 11:27:42 +00:00,0,earned
grumspot.com,11,3,0,1,2026-07-24 15:43:03 +00:00,0,earned
betulcrime.com,0,1,60,1,2026-08-16 11:20:47 +00:00,0,junk
blackbeltcommerce.com,0,3,0,1,2026-08-16 04:42:23 +00:00,0,earned
ecosistemastartup.com,0,1,0,1,2026-08-15 05:42:21 +00:00,0,earned
dmtechlabs.us,0,1,0,1,2026-08-08 18:56:51 +00:00,1,earned
homesforsaleoldgreenwichct.com,0,1,70,1,2026-08-08 16:30:14 +00:00,0,junk
insightland.org,0,1,0,1,2026-08-08 05:56:14 +00:00,0,earned
hostprinter.com,0,1,60,1,2026-08-07 23:09:59 +00:00,0,junk
bazerdaily.com,0,1,60,1,2026-08-05 11:50:46 +00:00,0,junk
dopaminestudio.io,0,2,0,1,2026-08-04 07:00:43 +00:00,0,earned
aidev.com,0,1,0,1,2026-08-03 18:59:12 +00:00,0,earned
apartagency.co,0,1,0,1,2026-08-03 01:28:12 +00:00,0,earned
weblish.io,0,2,0,1,2026-08-02 15:47:59 +00:00,0,earned
joinfud.com,0,1,0,1,2026-08-02 13:17:45 +00:00,0,earned
cited.so,0,1,0,1,2026-08-02 00:28:53 +00:00,0,earned
ggmap.us.com,0,1,60,1,2026-08-01 08:56:53 +00:00,0,junk
exoticaitsolutions.com,0,1,0,1,2026-08-01 07:21:26 +00:00,0,earned
mymillionreaders.com,0,2,25,1,2026-07-31 23:57:40 +00:00,1,earned
kopfkoerperschule.de,0,1,0,1,2026-07-31 15:17:03 +00:00,0,earned
fascinatecity.com,0,1,30,1,2026-07-29 03:22:27 +00:00,0,junk
ecom-store.pro,0,1,5,1,2026-07-26 05:16:53 +00:00,0,earned
buzzshrink.website,0,1,50,1,2026-07-24 06:23:44 +00:00,1,junk
anchorurl.cloud,0,1,50,1,2026-07-22 07:35:32 +00:00,1,junk
freelandai.org,0,2,0,1,2026-07-22 02:58:48 +00:00,0,earned
branvas.com,0,1,0,1,2026-07-19 01:59:54 +00:00,0,earned
visualenews.com,0,2,0,1,2026-07-17 00:23:39 +00:00,0,earned
amaxmarketing.co.uk,0,1,0,1,2026-07-15 06:50:43 +00:00,0,earned
crunchbase.com,0,2,0,1,2026-07-14 04:57:15 +00:00,1,earned
seomarket.co.in,0,6,0,1,2026-07-11 22:36:47 +00:00,0,earned
msmcoretech.com,0,1,0,1,2026-07-07 09:57:52 +00:00,1,earned
freshmovemedia.com,0,1,0,1,2026-06-29 21:03:49 +00:00,1,earned
zilliondesigns.com,0,1,0,1,2026-06-03 09:10:09 +00:00,1,earned
read.org.in,0,1,60,1,2026-05-04 17:43:03 +00:00,0,junk
screenshots.wiki,0,2,50,1,2026-04-29 11:57:56 +00:00,2,junk
tntcode.com,0,1,50,1,2026-04-29 09:23:23 +00:00,1,junk
sergechel.info,0,1,60,1,2026-04-10 18:06:17 +00:00,0,junk
ycm.info,0,1,50,1,2026-03-19 11:26:43 +00:00,0,junk
urls-shortener.eu,0,1,50,1,2026-02-27 11:28:59 +00:00,1,junk
tunca.org,0,1,50,1,2026-02-23 03:50:48 +00:00,0,junk
musweb.org,0,1,60,1,2026-02-15 06:37:40 +00:00,0,junk
ready.pro,0,1,50,1,2026-02-03 08:42:56 +00:00,1,junk
runningwebsites.net,0,1,60,1,2026-01-29 18:20:03 +00:00,0,junk
alljobs.info,0,1,50,1,2026-01-25 15:38:18 +00:00,0,junk
shortenurls.eu,0,1,50,1,2026-01-21 16:04:25 +00:00,1,junk
simplewebdirectory.com,0,1,60,1,2026-01-19 08:11:04 +00:00,0,junk
websiterace.com,0,1,50,1,2026-01-09 09:13:07 +00:00,0,junk
wheretobuybest.link,0,1,80,1,2025-12-28 18:09:08 +00:00,1,junk
getwebsiteworth.com,0,3,60,3,2025-12-25 09:50:44 +00:00,0,junk
globalecommerce.org,0,1,60,1,2025-12-07 20:21:49 +00:00,0,junk
drjack.world,0,1,50,1,2025-11-18 21:16:22 +00:00,1,junk
quero.party,0,2,50,1,2025-09-18 15:29:25 +00:00,2,junk
australianwebdirectory.pro,0,1,70,1,2025-08-06 14:13:59 +00:00,0,junk
australianwebdirectory.shop,0,1,70,1,2025-05-31 20:45:28 +00:00,0,junk
bye.fyi,0,2,50,1,2025-02-11 23:05:11 +00:00,2,junk
filesure.in,0,1,5,1,2025-01-19 11:41:32 +00:00,0,earned
global-websites.pages.dev,0,1,35,1,2023-11-30 19:36:25 +00:00,1,junk
global-ranks.pages.dev,0,1,35,1,2023-11-13 17:47:05 +00:00,1,junk
huldra.pages.dev,0,1,25,1,2023-10-14 19:22:07 +00:00,1,earned
