keyword,location,cluster,sv,kd,intent,score
seo agency interamplify,in,india-local,22200,2.0,commercial,8000.0
near me digital marketing agency,in,india-local,12100,6.0,commercial,8000.0
digital marketing agency near me,in,india-local,12100,6.0,commercial,8000.0
seo agency in mumbai,in,india-local,8100,8.0,commercial,8000.0
small business seo services,us,ai-seo-geo-aeo,6600,12.0,commercial,6600.0
shopify development partners,us,ecommerce-shopify,18100,21.0,navigational,6000.0
agency web design,us,web-design,12100,21.0,commercial,6000.0
agency for web design,us,web-design,12100,21.0,commercial,6000.0
local seo services,us,ai-seo-geo-aeo,9900,17.0,commercial,6000.0
ai for seo,us,ai-seo-geo-aeo,8100,25.0,commercial,6000.0
seo company mumbai,in,india-local,8100,17.0,commercial,6000.0
seo company in mumbai india,in,india-local,8100,24.0,commercial,6000.0
seo company in mumbai,in,india-local,8100,20.0,commercial,6000.0
google digital marketing & e-commerce certificate,us,ai-seo-geo-aeo,5400,15.0,commercial,5400.0
agency seo,in,india-local,5400,0.0,commercial,5400.0
seo for agency,in,india-local,5400,0.0,commercial,5400.0
agency for seo,in,india-local,5400,0.0,commercial,5400.0
best digital marketing agency in india,in,india-local,5400,9.0,commercial,5400.0
best digital marketing agency india,in,india-local,5400,9.0,commercial,5400.0
seo optimisation agency,in,india-local,6600,17.0,commercial,4950.0
digital marketing agency noida,in,india-local,6600,24.0,commercial,4950.0
seo agency austin,us,ai-seo-geo-aeo,4400,12.0,commercial,4400.0
austin seo agency,us,ai-seo-geo-aeo,4400,4.0,commercial,4400.0
web design service for small business,us,web-design,4400,10.0,commercial,4400.0
web design services for small business,us,web-design,4400,0.0,commercial,4400.0
small business web design services,us,web-design,4400,0.0,commercial,4400.0
web design services small business,us,web-design,4400,10.0,commercial,4400.0
bangalore seo company,in,india-local,4400,8.0,commercial,4400.0
seo company in bangalore,in,india-local,4400,8.0,commercial,4400.0
seo agency in bangalore,in,india-local,4400,0.0,commercial,4400.0
b2b marketing agency,us,ai-seo-geo-aeo,5400,18.0,commercial,4050.0
digital marketing agency pune,in,india-local,5400,18.0,commercial,4050.0
seo agency,us,ai-seo-geo-aeo,27100,31.0,commercial,3600.0
shopify development partner,in,ecommerce-shopify,27100,29.0,commercial,3600.0
seo company,us,ai-seo-geo-aeo,22200,30.0,commercial,3600.0
seo consultant,us,ai-seo-geo-aeo,8100,30.0,commercial,3600.0
mumbai seo company,in,india-local,8100,30.0,commercial,3600.0
mumbai seo agency,in,india-local,8100,32.0,commercial,3600.0
seo agency mumbai,in,india-local,8100,31.0,commercial,3600.0
digital marketing agency in delhi,in,india-local,8100,31.0,commercial,3600.0
top digital marketing agency,in,india-local,8100,33.0,commercial,3600.0
biggest digital marketing agency,in,india-local,8100,28.0,commercial,3600.0
big digital marketing agency,in,india-local,8100,34.0,commercial,3600.0
digital marketing agency best,in,india-local,8100,33.0,commercial,3600.0
best digital marketing agency,in,india-local,8100,33.0,commercial,3600.0
digital marketing agency top,in,india-local,8100,33.0,commercial,3600.0
full-service marketing agency,us,ai-seo-geo-aeo,3600,0.0,commercial,3600.0
ai automation agency,us,ai-agent-automation,3600,6.0,navigational,3600.0
digital marketing agency in indore,in,india-local,3600,12.0,commercial,3600.0
ai for seo,in,ai-seo-geo-aeo,4400,20.0,commercial,3300.0
seo for small business,us,ai-seo-geo-aeo,4400,20.0,commercial,3300.0
colorado springs seo companies,us,ai-seo-geo-aeo,4400,18.0,commercial,3300.0
colorado springs seo company,us,ai-seo-geo-aeo,4400,16.0,commercial,3300.0
seo company bangalore,in,india-local,4400,19.0,commercial,3300.0
delhi seo company,in,india-local,4400,17.0,commercial,3300.0
seo company delhi ncr,in,india-local,4400,23.0,commercial,3300.0
seo company in delhi ncr,in,india-local,4400,23.0,commercial,3300.0
digital marketing agency in lucknow,in,india-local,4400,18.0,commercial,3300.0
web design company in new delhi,in,web-design,6600,33.0,commercial,2970.0
seo agency,in,india-local,6600,33.0,commercial,2970.0
digital marketing agency chennai,in,india-local,6600,31.0,commercial,2970.0
digital marketing agency in mumbai,in,india-local,6600,28.0,commercial,2970.0
digital marketing agency in hyd,in,india-local,6600,35.0,commercial,2970.0
seo audit service,us,seo-cost-audit,2900,11.0,commercial,2900.0
pricing seo,us,seo-cost-audit,2900,7.0,commercial,2900.0
pricing for seo,us,seo-cost-audit,2900,7.0,commercial,2900.0
seo pricing,us,seo-cost-audit,2900,7.0,commercial,2900.0
digital marketing agency surat,in,india-local,2900,10.0,commercial,2900.0
digital marketing agency in surat,in,india-local,2900,9.0,commercial,2900.0
search atlas ai seo software,us,ai-seo-geo-aeo,3600,25.0,commercial,2700.0
local seo agency,us,ai-seo-geo-aeo,3600,21.0,commercial,2700.0
seo consulting service,us,ai-seo-geo-aeo,3600,17.0,commercial,2700.0
web design company pune,in,web-design,3600,25.0,commercial,2700.0
seo company pune,in,india-local,3600,18.0,commercial,2700.0
pune seo company,in,india-local,3600,18.0,commercial,2700.0
seo company in pune,in,india-local,3600,19.0,commercial,2700.0
seo agency in chennai,in,india-local,3600,24.0,commercial,2700.0
