group,domain,url,words,h2h3,list_items,li_per_1k,tables,faq_schema,ld_types,capability_terms,cap_per_1k,unique_caps,numeric_claims,num_per_1k,hedges_per_1k
A_cited_not_ranked,cake.agency,https://cake.agency/,1723,36,0,0.0,0,yes,AdministrativeArea|Answer|FAQPage|Offer|Organization|Place|PostalAddre,31,18.0,3,0,0.0,0.0
A_cited_not_ranked,viasocket.com,https://viasocket.com/,1325,24,7,5.3,0,no,Organization,24,18.1,14,0,0.0,0.8
A_cited_not_ranked,truenorthsocial.com,https://truenorthsocial.com/,5141,274,271,52.7,0,yes,Answer|BreadcrumbList|ContactPoint|EntryPoint|FAQPage|GeoCircle|GeoCoo,8,1.6,1,0,0.0,0.2
A_cited_not_ranked,onilab.com,https://onilab.com/,805,25,172,213.7,0,no,Organization|PostalAddress|SpeakableSpecification|Thing|WebPage|WebSit,37,46.0,5,1,1.2,0.0
A_cited_not_ranked,instinctools.com,https://instinctools.com/,2557,9,208,81.3,0,no,AggregateRating|BusinessAudience|Certification|ContactPoint|Country|De,1,0.4,1,0,0.0,0.4
A_cited_not_ranked,appinventiv.com,https://appinventiv.com/,5513,70,325,59.0,0,yes,Answer|ContactPoint|Country|FAQPage|ImageObject|Organization|PostalAdd,67,12.2,22,5,0.9,0.0
A_cited_not_ranked,freshconsulting.com,https://freshconsulting.com/,494,22,290,587.0,0,no,BreadcrumbList|EntryPoint|ListItem|PropertyValueSpecification|ReadActi,1,2.0,1,0,0.0,0.0
A_cited_not_ranked,leewayhertz.com,https://leewayhertz.com/,2462,36,691,280.7,0,no,BreadcrumbList|EntryPoint|ImageObject|ListItem|PropertyValueSpecificat,13,5.3,10,0,0.0,0.0
A_cited_not_ranked,itransition.com,https://itransition.com/,1490,18,13,8.7,0,no,AggregateRating|ContactPoint|LocalBusiness|OpeningHoursSpecification|O,18,12.1,6,1,0.7,0.0
A_cited_not_ranked,deviniti.com,https://deviniti.com/,156,22,83,532.1,0,no,BreadcrumbList|EntryPoint|ImageObject|ListItem|Organization|PropertyVa,2,12.8,1,0,0.0,0.0
A_cited_not_ranked,lumay.ai,https://lumay.ai/,938,42,32,34.1,0,no,,7,7.5,4,4,4.3,0.0
A_cited_not_ranked,effectivesoft.com,https://effectivesoft.com/,1787,11,317,177.4,0,no,AggregateRating|BreadcrumbList|ListItem|LocalBusiness|OpeningHoursSpec,9,5.0,6,0,0.0,0.0
A_cited_not_ranked,taskip.net,https://taskip.net/,1908,53,51,26.7,0,no,Answer|CreativeWork|ImageObject|Offer|OfferCatalog|Organization|Person,8,4.2,5,1,0.5,0.0
A_cited_not_ranked,arsum.com,https://arsum.com/,504,13,5,9.9,0,no,ContactPoint|ImageObject|Offer|OfferCatalog|Organization|PostalAddress,2,4.0,2,1,2.0,0.0
B_ranked_not_cited,superside.com,https://www.superside.com/blog/ecommerce-web-design-agencies,3405,33,142,41.7,0,no,ImageObject|Organization|Person|QuantitativeValue,10,2.9,5,2,0.6,0.0
B_ranked_not_cited,thriveagency.com,https://thriveagency.com/digital-marketing-services/ai-seo-services/,3363,63,251,74.6,0,no,AggregateRating|Answer|Audience|BreadcrumbList|ContactPoint|GeoCoordin,21,6.2,7,0,0.0,0.6
B_ranked_not_cited,scnsoft.com,https://www.scnsoft.com/ecommerce/services/development,3143,15,43,13.7,0,no,Article|ImageObject|Organization|ReadAction|WebPage|WebSite,23,7.3,15,7,2.2,0.0
B_ranked_not_cited,awwwards.com,https://www.awwwards.com/websites/design-agencies/,698,31,595,852.4,0,no,,0,0.0,0,0,0.0,0.0
B_ranked_not_cited,intuz.com,https://www.intuz.com/ai-agents-for-business-automation/,4154,73,94,22.6,0,yes,Answer|BreadcrumbList|Country|FAQPage|ImageObject|ListItem|Organizatio,112,27.0,34,16,3.9,0.0
B_ranked_not_cited,azumo.com,https://azumo.com/artificial-intelligence/ai-services/ai-agent-development-company,2828,41,20,7.1,1,no,Audience|BreadcrumbList|ContactPoint|EducationalOccupationalCredential,80,28.3,33,5,1.8,0.7
B_ranked_not_cited,neurons-lab.com,https://neurons-lab.com/articles/ai-agent-development-services/,2771,28,109,39.3,1,no,BreadcrumbList|EntryPoint|ImageObject|ListItem|PropertyValueSpecificat,17,6.1,10,1,0.4,1.1
B_ranked_not_cited,intellectyx.com,https://www.intellectyx.com/ai-agent-development-companies-in-usa/,3107,28,195,62.8,0,yes,Answer|Article|BreadcrumbList|EntryPoint|FAQPage|GeoCoordinates|ImageO,14,4.5,5,3,1.0,0.0
B_ranked_not_cited,moveworks.com,https://www.moveworks.com/us/en/resources/blog/ai-agent-development-company,2819,35,192,68.1,1,yes,Answer|Article|BreadcrumbList|FAQPage|ImageObject|ListItem|Organizatio,24,8.5,14,0,0.0,0.4
B_ranked_not_cited,automaly.io,https://automaly.io/services/,982,15,28,28.5,0,no,BreadcrumbList|ContactPoint|Country|GeoShape|ListItem|Offer|OfferCatal,1,1.0,1,2,2.0,1.0
B_ranked_not_cited,goodish.agency,https://goodish.agency/10-best-ai-automation-agencies-in-2025-and-how-to-choose-one/,3960,59,67,16.9,1,no,Article|BlogPosting|ImageObject|Organization|Person|Place|PostalAddres,31,7.8,18,1,0.3,0.3
B_ranked_not_cited,theaiautomationagency.ai,https://theaiautomationagency.ai/,1279,28,52,40.7,0,no,,3,2.3,1,5,3.9,0.0
