keyword,city,service,have_page,search_volume,cpc,kd
seo agency austin,austin,seo,yes,4400,28.12,17
web design company dallas,dallas,web-design-dev,no,2900,24.09,24
seo agency los angeles,los angeles,seo,no,2400,15.98,35
seo agency san diego,san diego,seo,no,2400,24.01,39
web design company chicago,chicago,web-design-dev,no,1900,31.89,90
seo agency new york,new york,seo,yes,1900,23.32,22
web design company new york,new york,web-design-dev,yes,1900,28.12,33
web design company phoenix,phoenix,web-design-dev,no,1900,22.9,31
web design company san diego,san diego,web-design-dev,no,1600,12.74,30
web design company tampa,tampa,web-design-dev,yes,1600,36.65,32
seo agency phoenix,phoenix,seo,no,1300,14.88,24
web design company st louis,st louis,web-design-dev,no,1300,26.95,72
seo agency dallas,dallas,seo,no,1000,16.13,22
web design company atlanta,atlanta,web-design-dev,no,1000,27.62,75
web design company seattle,seattle,web-design-dev,no,1000,15.55,79
seo agency boston,boston,seo,no,880,30.9,5
seo agency charlotte,charlotte,seo,yes,880,16.47,17
seo agency chicago,chicago,seo,no,880,46.23,1
web design agency atlanta,atlanta,web-design-dev,no,880,44.78,53
seo agency miami,miami,seo,yes,880,25.94,17
web design agency houston,houston,web-design-dev,no,720,11.45,100
web design company houston,houston,web-design-dev,no,720,11.45,50
seo agency philadelphia,philadelphia,seo,no,720,7.44,67
web design agency new york,new york,web-design-dev,yes,720,14.38,51
web design company los angeles,los angeles,web-design-dev,no,720,16.97,37
web design company nashville,nashville,web-design-dev,yes,720,32.01,38
web design company philadelphia,philadelphia,web-design-dev,no,720,21.08,52
web design company san francisco,san francisco,web-design-dev,no,720,13.98,33
seo agency denver,denver,seo,yes,590,32.07,18
seo agency houston,houston,seo,no,590,21.68,26
seo agency las vegas,las vegas,seo,no,590,0,13
web design agency chicago,chicago,web-design-dev,no,590,16.36,39
web design company detroit,detroit,web-design-dev,no,590,7.16,0
web design company fargo,fargo,web-design-dev,yes,590,5.71,25
web design company salt lake city,salt lake city,web-design-dev,no,590,25.43,22
web design agency dallas,dallas,web-design-dev,no,480,56.86,72
web design company austin,austin,web-design-dev,yes,480,32.91,35
seo agency minneapolis,minneapolis,seo,no,480,19.7,31
seo agency seattle,seattle,seo,no,480,22.19,27
web design agency washington dc,washington dc,web-design-dev,no,480,0,60
web design company washington dc,washington dc,web-design-dev,no,480,0,40
seo agency boise,boise,seo,yes,390,47.93,12
web design company charlotte,charlotte,web-design-dev,yes,390,0,49
seo agency san francisco,san francisco,seo,no,390,42.83,19
web design agency orlando,orlando,web-design-dev,no,390,0,78
web design company minneapolis,minneapolis,web-design-dev,no,390,22.99,84
web design company orlando,orlando,web-design-dev,no,390,0,70
seo agency nashville,nashville,seo,yes,320,59.81,0
seo agency tampa,tampa,seo,yes,320,0,9
web design agency los angeles,los angeles,web-design-dev,no,320,16.93,56
web design agency denver,denver,web-design-dev,yes,260,30.64,41
web design company denver,denver,web-design-dev,yes,260,230.95,37
web design company sacramento,sacramento,web-design-dev,no,260,31.05,36
seo agency atlanta,atlanta,seo,no,210,46.53,22
seo agency detroit,detroit,seo,no,210,0,0
web design agency boston,boston,web-design-dev,no,210,0,72
web design company boston,boston,web-design-dev,no,210,0,87
web design company cleveland,cleveland,web-design-dev,yes,210,10.74,9
web design company indianapolis,indianapolis,web-design-dev,no,210,64.82,33
web design company jacksonville,jacksonville,web-design-dev,no,210,23.49,59
seo agency orlando,orlando,seo,no,210,0,23
web design agency san francisco,san francisco,web-design-dev,no,210,16.13,3
web design agency seattle,seattle,web-design-dev,no,210,11.13,42
web design agency tampa,tampa,web-design-dev,yes,210,10.25,30
seo agency irvine,irvine,seo,no,170,1.76,0
web design agency austin,austin,web-design-dev,yes,170,11.52,50
web design company colorado springs,colorado springs,web-design-dev,yes,170,21.91,63
web design company las vegas,las vegas,web-design-dev,no,170,68.1,41
seo agency portland,portland,seo,yes,170,25.13,17
seo agency san jose,san jose,seo,no,170,0,0
web design agency miami,miami,web-design-dev,yes,170,10.11,62
web design company miami,miami,web-design-dev,yes,170,0,41
seo agency salt lake city,salt lake city,seo,no,140,0,25
seo agency san antonio,san antonio,seo,no,140,0,10
web design agency phoenix,phoenix,web-design-dev,no,140,0,32
seo agency columbus,columbus,seo,no,110,0,10
seo agency raleigh,raleigh,seo,yes,110,0,10
web design agency san diego,san diego,web-design-dev,no,110,11.03,36
web design agency st louis,st louis,web-design-dev,no,110,0,72
web design company san antonio,san antonio,web-design-dev,no,110,72.67,45
seo agency washington dc,washington dc,seo,no,110,0,1
seo agency kansas city,kansas city,seo,no,90,4.66,5
web design company kansas city,kansas city,web-design-dev,no,90,0,41
seo agency cleveland,cleveland,seo,yes,70,0,9
seo agency fort worth,fort worth,seo,no,70,0,7
seo agency jacksonville,jacksonville,seo,no,70,0,20
web design agency charlotte,charlotte,web-design-dev,yes,70,16,69
seo agency pittsburgh,pittsburgh,seo,no,70,25.83,7
seo agency scottsdale,scottsdale,seo,no,70,0,0
web design agency philadelphia,philadelphia,web-design-dev,no,70,17.36,24
web design agency portland,portland,web-design-dev,yes,70,18.34,68
web design company pittsburgh,pittsburgh,web-design-dev,no,70,75.94,88
web design agency las vegas,las vegas,web-design-dev,no,50,9,57
seo agency sacramento,sacramento,seo,no,50,0,9
seo agency indianapolis,indianapolis,seo,no,40,0,0
web design company fort worth,fort worth,web-design-dev,no,40,0,12
seo agency st louis,st louis,seo,no,40,38.26,21
web design agency minneapolis,minneapolis,web-design-dev,no,40,10.09,36
web design agency san jose,san jose,web-design-dev,no,40,0,3
ai consulting chicago,chicago,ai-agent-dev,no,30,95.22,
seo agency colorado springs,colorado springs,seo,yes,30,0,48
web design company columbus,columbus,web-design-dev,no,30,8.22,65
web design agency raleigh,raleigh,web-design-dev,yes,30,0,81
web design company san jose,san jose,web-design-dev,no,30,0,11
web design agency detroit,detroit,web-design-dev,no,20,0,
web design agency kansas city,kansas city,web-design-dev,no,20,72.68,77
web design company arlington,arlington,web-design-dev,yes,20,0,19
shopify developer los angeles,los angeles,ecommerce-dev,no,20,0,0
web design agency nashville,nashville,web-design-dev,yes,20,9.69,47
web design agency pittsburgh,pittsburgh,web-design-dev,no,20,1.19,80
web design agency salt lake city,salt lake city,web-design-dev,no,20,0,
web design company portland,portland,web-design-dev,yes,20,0,61
web design company raleigh,raleigh,web-design-dev,yes,20,0,49
ai consulting atlanta,atlanta,ai-agent-dev,no,10,22.45,
seo agency arlington,arlington,seo,yes,10,0,9
shopify developer atlanta,atlanta,ecommerce-dev,no,10,0,
shopify developer austin,austin,ecommerce-dev,yes,10,0,
shopify developer boston,boston,ecommerce-dev,no,10,0,
shopify developer denver,denver,ecommerce-dev,yes,10,0,
web design agency arlington,arlington,web-design-dev,yes,10,0,
web design agency boise,boise,web-design-dev,yes,10,0,
web design agency cleveland,cleveland,web-design-dev,yes,10,0,11
web design agency columbus,columbus,web-design-dev,no,10,0,69
