keyword,service,search_volume,kd,band,cpc,intent,value
web development,ecommerce-dev,201000,61,v.hard 50-69,30.17,informational,6064170
website design,ecommerce-dev,49500,70,brutal 70+,28.97,commercial,1434015
web design company,ecommerce-dev,14800,88,brutal 70+,49.15,commercial,727420
web design for company,web-design-dev,14800,88,brutal 70+,49.15,commercial,727420
web design company websites,web-design-dev,14800,38,hard 30-49,49.15,commercial,727420
web design website company,web-design-dev,14800,38,hard 30-49,49.15,commercial,727420
company web design,web-design-dev,14800,88,brutal 70+,49.15,commercial,727420
web design design company,web-design-dev,14800,88,brutal 70+,49.15,commercial,727420
web design company sites,web-design-dev,14800,71,brutal 70+,49.15,commercial,727420
company for web design,web-design-dev,14800,88,brutal 70+,49.15,commercial,727420
web design agency,ecommerce-dev,12100,41,hard 30-49,26.9,commercial,325490
agency web design,web-design-dev,12100,21,mid 15-29,26.9,commercial,325490
agency for web design,web-design-dev,12100,21,mid 15-29,26.9,commercial,325490
website development services,ecommerce-dev,5400,37,hard 30-49,55.68,commercial,300672
web development services,ecommerce-dev,5400,39,hard 30-49,55.68,commercial,300672
web design services,ecommerce-dev,8100,40,hard 30-49,36.69,commercial,297189
services website design,web-design-dev,8100,0,easy 0-14,36.69,commercial,297189
website design for services,web-design-dev,8100,0,easy 0-14,36.69,commercial,297189
website design services,ecommerce-dev,6600,71,brutal 70+,32.86,commercial,216876
website design services for small business,ecommerce-dev,4400,8,easy 0-14,46.79,commercial,205876
small business website design services,ecommerce-dev,4400,5,easy 0-14,46.79,commercial,205876
web design services for small business,ecommerce-dev,4400,0,easy 0-14,46.79,commercial,205876
small business web design services,ecommerce-dev,4400,5,easy 0-14,46.79,commercial,205876
website design services for small businesses,web-design-dev,4400,8,easy 0-14,46.79,commercial,205876
small website design services,web-design-dev,4400,5,easy 0-14,46.79,commercial,205876
web development company,ai-seo,4400,39,hard 30-49,43.32,commercial,190608
website development company,web-design-dev,4400,70,brutal 70+,43.32,commercial,190608
company website development,web-design-dev,4400,45,hard 30-49,43.32,commercial,190608
web design company near me,web-design-dev,6600,94,brutal 70+,28.65,commercial,189090
web development agency,ai-seo,3600,24,mid 15-29,41.51,commercial,149436
web design and seo,ai-seo,2900,20,mid 15-29,41.19,commercial,119451
web design company wordpress,web-design-dev,1600,45,hard 30-49,66.33,commercial,106128
wordpress web design company,web-design-dev,1600,37,hard 30-49,66.33,commercial,106128
wordpress web design agency,web-design-dev,1600,27,mid 15-29,66.33,commercial,106128
shopify ecommerce web development,ecommerce-dev,590,37,hard 30-49,162.42,commercial,95828
custom web app development,web-design-dev,390,3,easy 0-14,224.53,commercial,87567
