keyword,vertical,seed,search_volume,cpc,competition,kd,intent
law firm seo,law,law firm seo,4400,103.24,LOW,11,commercial
seo law firm,law,law firm seo,4400,103.24,LOW,11,commercial
seo for law firm,law,law firm seo,4400,103.24,LOW,11,commercial
kang seo restaurant,restaurant,restaurant seo,2900,0.5,LOW,0,navigational
website design for law firm,law,law firm website design,2400,86.41,LOW,34,commercial
law firm website design,law,law firm website design,2400,86.41,LOW,34,commercial
law-firm-website-design,law,law firm website design,2400,86.41,LOW,45,commercial
website design law firm,law,law firm website design,2400,86.41,LOW,34,commercial
seo roofing,roofing,roofing seo,2400,40.4,LOW,8,commercial
seo for roofing,roofing,roofing seo,2400,40.4,LOW,6,informational
roofing seo,roofing,roofing seo,2400,40.4,LOW,7,commercial
seo agency for healthcare,healthcare,healthcare seo,1600,122.42,LOW,0,commercial
seo agency healthcare,healthcare,healthcare seo,1600,122.42,LOW,2,commercial
healthcare seo agency,healthcare,healthcare seo,1600,122.42,LOW,0,commercial
dental seo,dental,dental seo,1300,70.41,LOW,0,commercial
dental seo services,dental,dental seo,1300,43.17,LOW,8,commercial
dental seo service,dental,dental seo,1300,43.17,LOW,6,commercial
seo dental,dental,dental seo,1300,38.61,LOW,10,commercial
seo for dental,dental,dental seo,1300,38.61,LOW,7,commercial
dental seo marketing,dental,dental seo,1300,38.61,LOW,16,commercial
seo real estate,real-estate,real estate seo,1300,26.21,LOW,13,commercial
seo and real estate,real-estate,real estate seo,1300,26.21,LOW,0,commercial
real estate seo optimization,real-estate,real estate seo,1300,26.21,LOW,15,commercial
real estate seo,real-estate,real estate seo,1300,26.21,LOW,16,commercial
seo for real estate,real-estate,real estate seo,1300,26.21,LOW,12,commercial
seo in real estate,real-estate,real estate seo,1300,26.21,LOW,10,commercial
home service seo,home-services,home service seo,1300,38.23,LOW,0,commercial
local seo for dental,dental,dental seo,1000,53.69,LOW,0,commercial
local dental seo,dental,dental seo,1000,53.69,LOW,2,commercial
dental seo company,dental,dental seo,1000,68.89,LOW,9,commercial
dental seo companies,dental,dental seo,1000,68.89,LOW,1,commercial
dental local seo,dental,dental seo,1000,53.69,LOW,0,commercial
seo for roofing companies,roofing,roofing seo,1000,32.32,LOW,15,informational
roofing company seo,roofing,roofing seo,1000,32.32,LOW,8,commercial
roofing seo companies,roofing,roofing seo,1000,32.32,LOW,4,commercial
roofing seo company,roofing,roofing seo,1000,32.32,LOW,16,commercial
general contractor website design,contractor,contractor website design,1000,15.61,LOW,7,navigational
website design for contractor,contractor,contractor website design,1000,15.61,LOW,5,commercial
contractor website design,contractor,contractor website design,1000,15.61,LOW,7,commercial
website design contractor,contractor,contractor website design,1000,15.61,LOW,35,commercial
website design for construction company,contractor,construction website design,1000,17.84,LOW,15,navigational
building construction website design,contractor,construction website design,1000,17.84,LOW,10,navigational
design construction website,contractor,construction website design,1000,17.84,LOW,27,navigational
website design for construction companies,contractor,construction website design,1000,17.84,LOW,0,commercial
website design for construction,contractor,construction website design,1000,17.84,LOW,0,commercial
construction industry website design,contractor,construction website design,1000,17.84,LOW,13,informational
construction company website design,contractor,construction website design,1000,17.84,LOW,0,navigational
construction website design,contractor,construction website design,1000,17.84,LOW,1,informational
website design construction,contractor,construction website design,1000,17.84,LOW,19,commercial
website design and construction,contractor,construction website design,1000,17.84,LOW,3,commercial
dental clinic website design,dental,dental website design,880,38.69,LOW,41,commercial
website design dental,dental,dental website design,880,38.69,LOW,84,commercial
dental website design,dental,dental website design,880,38.69,LOW,8,commercial
dental design website,dental,dental website design,880,38.69,LOW,56,navigational
design a real estate website,real-estate,real estate website design,880,19.57,LOW,19,commercial
real estate design website,real-estate,real estate website design,880,19.57,LOW,19,commercial
real estate website design,real-estate,real estate website design,880,19.57,LOW,19,commercial
website real estate design,real-estate,real estate website design,880,19.57,LOW,38,commercial
website design for real estate,real-estate,real estate website design,880,19.57,LOW,35,commercial
best law firm seo companies,law,law firm seo,880,268.78,LOW,16,commercial
best law firm seo company,law,law firm seo,880,268.78,LOW,6,commercial
law firm local seo,law,law firm seo,880,88.67,LOW,0,commercial
hvac seo services,hvac,hvac seo,880,59.89,LOW,15,commercial
hvac seo service,hvac,hvac seo,880,59.89,LOW,15,commercial
