keyword,seed,search_volume,cpc,competition,kd,intent
facebook marketplace,sell on walmart marketplace,9140000,4.82,LOW,13,navigational
marketplace facebook,sell on walmart marketplace,201000,5.35,LOW,19,navigational
facebook marketplace cars,sell on walmart marketplace,90500,1.23,HIGH,8,navigational
ebay seller hub,sell on walmart marketplace,74000,4.72,LOW,16,navigational
wayfair sale,sell on walmart marketplace,33100,0.57,HIGH,29,commercial
walmart seller central,walmart seller central,27100,9.86,LOW,22,navigational
seller central walmart,walmart seller central,27100,10.55,LOW,22,navigational
facebook marketplace mn,sell on walmart marketplace,27100,4.33,LOW,14,navigational
facebook marketplace m n,sell on walmart marketplace,27100,4.33,LOW,12,navigational
facebook marketplace houston,sell on walmart marketplace,27100,0,LOW,16,navigational
craigslist fort worth,sell on walmart marketplace,27100,6.83,LOW,6,navigational
facebook marketplace phoenix,sell on walmart marketplace,22200,22.21,LOW,2,navigational
facebook marketplace sacramento,sell on walmart marketplace,22200,0,LOW,21,navigational
facebook marketplace portland,sell on walmart marketplace,22200,0,LOW,7,navigational
fb marketplace rochester ny,sell on walmart marketplace,22200,0,LOW,8,navigational
facebook marketplace ct,sell on walmart marketplace,22200,2.29,LOW,0,navigational
facebook marketplace seattle,sell on walmart marketplace,22200,15.15,LOW,6,navigational
fb marketplace sacramento,sell on walmart marketplace,22200,0,LOW,0,navigational
facebook marketplace austin,sell on walmart marketplace,18100,3.66,LOW,1,navigational
facebook marketplace san antonio,sell on walmart marketplace,18100,0,LOW,0,navigational
facebook marketplace los angeles,sell on walmart marketplace,18100,0,LOW,3,navigational
facebook.com marketplace,sell on walmart marketplace,18100,26.64,LOW,17,navigational
facebook marketplace kansas city,sell on walmart marketplace,18100,0,LOW,0,navigational
fb marketplace oahu,sell on walmart marketplace,18100,0,LOW,0,navigational
facebook marketplace spokane,sell on walmart marketplace,18100,0,LOW,0,navigational
facebook marketplace atlanta,sell on walmart marketplace,18100,0,LOW,1,navigational
craigslist for sale,sell on walmart marketplace,18100,1.89,LOW,15,navigational
facebook marketplace tucson,sell on walmart marketplace,18100,0,LOW,1,navigational
facebook marketplace chicago,sell on walmart marketplace,18100,3.31,LOW,0,navigational
